1,1,2,01/12/2024
2,3,4,02/12/2024
3,5,6,03/12/2024
4,7,8,04/12/2024
5,9,10,05/12/2024
6,11,12,06/12/2024
7,13,14,07/12/2024
8,15,16,08/12/2024
9,17,18,09/12/2024
10,19,20,10/12/2024
11,21,22,11/12/2024
12,23,24,12/12/2024
13,25,26,13/12/2024
14,27,28,14/12/2024
15,1,3,15/12/2024
16,2,4,16/12/2024
17,5,7,17/12/2024
18,6,8,18/12/2024
19,9,11,19/12/2024
20,10,12,20/12/2024
21,13,15,02/01/2025
22,14,16,03/01/2025
23,17,19,04/01/2025
24,18,20,05/01/2025
25,21,23,06/01/2025
26,22,24,07/01/2025
27,25,27,08/01/2025
28,26,28,09/01/2025
29,1,4,10/01/2025
30,2,5,11/01/2025
31,3,6,12/01/2025
32,7,10,13/01/2025
